,ICHMOKU_alert_1,ICHMOKU_alert_2,ICHMOKU_signal_1,ICHMOKU_signal_1_1,ICHMOKU_signal_2,ICHMOKU_signal_2_1,MACD,MACD_alert,MACD_signal,MACD_signal_1,MACDhist,MACDsignal,SAR,SAR_alert,SAR_signal,SAR_signal_1,base_line_fast,base_line_slow,close,conversion_line_fast,conversion_line_slow,exchange,high,lagging_span,lead_span_A,lead_span_B,low,open,scrip,scrip_name,volume
2021-02-08,,,,,,,49.30826937719348,,SELL,SELL,-20.506859347397096,69.81512872459058,3251.8776227129265,,SELL,SELL,3183.425,3175.2749999999996,3214.1,3183.425,3175.2749999999996,NSE,3226.0,3142.6,2838.175,2021.725,3155.15,3189.5,TCS,Tata Consultancy Services Limited,2526408
2021-02-08,TRUE,,BUY,,,,-13.196568302620335,,SELL,SELL,-0.8448626556760299,-12.351705646944305,1989.4008923497959,,SELL,SELL,1911.975,1899.5,1951.45,1911.975,1899.5,NSE,1969.0,2087.5,1938.625,1568.365,1929.05,1933.05,RELIANCE,Reliance Industries Limited,9772629
2021-02-05,,,,,,,-15.947938820995205,,SELL,SELL,-3.8074488379699076,-12.140489983025297,2003.2618395106476,,SELL,SELL,1900.0,1932.475,1924.95,1900.0,1932.475,NSE,1944.65,2062.4,1946.625,1568.365,1920.0,1930.05,RELIANCE,Reliance Industries Limited,9341735
2021-02-05,,,,,,,35.15158043246083,,BUY,BUY,13.719327048341473,21.43225338411936,1370.041072,,BUY,BUY,1509.625,1480.125,1597.6,1509.625,1480.125,NSE,1618.25,1469.15,1395.0,1020.0,1548.0,1548.0,HDFCBANK,HDFC Bank Limited,13522850
2021-02-05,,,,,,,51.06680042003654,,SELL,SELL,-23.87504314140331,74.94184356143985,3265.140024162688,,SELL,SELL,3140.975,3191.95,3157.95,3140.975,3191.95,NSE,3205.85,3129.65,2837.0,2021.725,3129.0,3198.95,TCS,Tata Consultancy Services Limited,2365676
2021-02-04,,,,,,,58.28562658133751,,SELL,SELL,-22.624977765453167,80.91060434679068,3279.2489618751997,,SELL,SELL,3140.975,3191.95,3184.0,3140.975,3191.95,NSE,3237.85,3050.2,2826.5,2021.725,3176.0,3216.05,TCS,Tata Consultancy Services Limited,2056508
2021-02-04,,,,,,,-16.529536263415594,,SELL,SELL,-5.340908489882773,-11.18862777353282,2018.328086424617,,SELL,SELL,1891.0,1972.675,1924.3,1891.0,1972.675,NSE,1940.0,2082.0,1946.625,1568.365,1905.0,1924.0,RELIANCE,Reliance Industries Limited,11822612
2021-02-04,,,,,,,28.851462157139395,,BUY,BUY,10.849040535105402,18.002421622033992,1356.1288,,BUY,BUY,1476.25,1465.0,1574.0,1476.25,1465.0,NSE,1588.0,1497.5,1395.0,1020.0,1543.45,1566.0,HDFCBANK,HDFC Bank Limited,12242004
2021-02-03,,,,,,,63.99931922239648,,SELL,SELL,-22.567529565757496,86.56684878815398,3294.25847008,,SELL,SELL,3159.55,3191.95,3200.05,3159.55,3191.95,NSE,3236.0,3036.5,2826.5,2021.725,3162.65,3213.0,TCS,Tata Consultancy Services Limited,2505608
2021-02-03,,,,,,,-16.965254653364354,,SELL,SELL,-7.111854002302227,-9.853400651062127,2034.7044417658879,,SELL,SELL,1891.0,1975.0,1930.65,1891.0,1975.0,NSE,1952.0,2009.1,1946.625,1568.365,1900.0,1928.3,RELIANCE,Reliance Industries Limited,13974486
